"Year","PlotID","Site","Trans","Plot","TreeID","BAI","CoreID","Pith","Pith.Yr","Inner","Outer","Bark","Use","Notes","Pith.offset","Tree","Spp","Genus","Canopy","Live","Age","BA.m2ha","BAI.filled","BA.tree","Stems","Density.Ha","BAI.filled.plot","BA.plot","BA.m2ha.plot","Density.ha.plot","Stems.plot","BAI.m2ha.plot","BA.m2ha.plot.live","RelBA","Site.Trans","Latitude","Longitude","elev","flow","TPI","sol","sol.lag","Anomaly","Tavg","Precip.PRISM","Tavg.PRISM","Precip.PRISM.sum","BA.tree.cm2"
1990,"HIKB3","HIK","B",3,"HIKB333",45.03096,"HIKB333HI","N",1930,1936,2012,"Y","Y","1977 missing",6,33,"ACRU","Acer","I","LIVE",60,0.07669892,45.03096,2409.642,1,31.83099,10164.81,8885.231,11.23463,1050.423,33,0.323556,19.47527,0.02100981,"HIKB",38.57215,-79.15678,907.026304870965,0.0383948469006721,0.238507177827566,99481.9866625328,99481.9866625328,1.12121308246024,10.8071195072799,87.9691666666667,10.3183332284292,1055.63,24.09642
1990,"HIKB4","HIK","B",4,"HIKB409",60.26329,"HIKB409HI","N",1934,1937,2012,"Y","Y","2011, 1977 missing",3,9,"ACRU","Acer","U","LIVE",56,0.06466648,60.26329,2031.621,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.01139556,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,99349.0159928188,99349.0159928188,1.12121308246024,10.6468683956373,87.9691666666667,10.3183332284292,1055.63,20.31621
1990,"HIKB4","HIK","B",4,"HIKB413",84.81955,"HIKB413HI","Y",1920,1921,2012,"Y","Y","1931 missing",1,13,"ACRU","Acer","I","LIVE",70,0.1344647,84.81955,4224.465,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.02369544,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,99349.0159928188,99349.0159928188,1.12121308246024,10.6468683956373,87.9691666666667,10.3183332284292,1055.63,42.24465
1990,"HIKB4","HIK","B",4,"HIKB420",87.13678,"HIKB420HI","N",1930,1933,2008,"Y","N","poor corr w/ master",3,20,"ACRU","Acer","U","LIVE",60,0.04011024,87.13678,1260.139,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.007068246,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,99349.0159928188,99349.0159928188,1.12121308246024,10.6468683956373,87.9691666666667,10.3183332284292,1055.63,12.60139
1990,"HIKC2","HIK","C",2,"HIKC202",499.796,"HIKC202HI","N",1809,1815,2012,"Y","Y","dots off on core",6,2,"BELE","Betula","C","LIVE",181,2.538845,499.796,79762.64,1,31.83099,15782.89,8827.292,25.05038,763.9437,24,0.5023851,27.15227,0.540835,"HIKC",38.57435,-79.15297,834.35688225539,0.0919242537313433,-0.101844941956882,103197.005746313,103197.005746313,1.12121308246024,11.5269953620109,87.9691666666667,10.3183332284292,1055.63,797.6264
1990,"HIKC2","HIK","C",2,"HIKC206",153.7349,"HIKC206HI","Y",1969,1970,2012,"Y","N","poor corr w/ master",1,6,"BELE","Betula","I","LIVE",21,0.1026165,153.7349,3223.892,1,31.83099,15782.89,8827.292,25.05038,763.9437,24,0.5023851,27.15227,0.02185978,"HIKC",38.57435,-79.15297,834.35688225539,0.0919242537313433,-0.101844941956882,103197.005746313,103197.005746313,1.12121308246024,11.5269953620109,87.9691666666667,10.3183332284292,1055.63,32.23892
1990,"HIKC3","HIK","C",3,"HIKC313",267.8406,"HIKC313HI","N",1972,1974,2012,"Y","Y","2011 missing",2,13,"ACRU","Acer","I","LIVE",18,0.2528503,267.8406,7943.772,1,31.83099,19934.94,7189.073,8.415987,1082.254,34,0.6345488,9.423314,0.2346155,"HIKC",38.57377,-79.15203,823.694881398252,0.0948026966292135,-0.157126508531003,103834.095874169,103834.095874169,1.12121308246024,11.7722146447864,87.9691666666667,10.3183332284292,1055.63,79.43772
1990,"HIKC4","HIK","C",4,"HIKC405",552.3391,"HIKC405HI","N",1972,1977,2012,"Y","Y","2011, 2003 missing",5,5,"ACRU","Acer","I","LIVE",18,0.3170981,552.3391,9962.241,1,31.83099,19665.02,8619.802,7.290653,1305.071,41,0.625957,9.781658,0.4172701,"HIKC",38.57328,-79.15099,812.190677264448,0.0977666915052161,-0.108761798310979,104810.007774552,104810.007774552,1.12121308246024,12.0311864225578,87.9691666666667,10.3183332284292,1055.63,99.62241
1990,"HIKC4","HIK","C",4,"HIKC406",3.790017,"HIKC406HI","N",1971,1973,2012,"Y","Y","2003, 1990 missing",2,6,"ACRU","Acer","U","LIVE",19,0.09102006,3.790017,2859.568,1,31.83099,19665.02,8619.802,7.290653,1305.071,41,0.625957,9.781658,0.1197735,"HIKC",38.57328,-79.15099,812.190677264448,0.0977666915052161,-0.108761798310979,104810.007774552,104810.007774552,1.12121308246024,12.0311864225578,87.9691666666667,10.3183332284292,1055.63,28.59568
1990,"HIKC4","HIK","C",4,"HIKC417",431.8304,"HIKC417HI","Y",1971,1972,2012,"Y","Y","1999 missing",1,17,"ACRU","Acer","C","LIVE",19,0.2100324,431.8304,6598.566,1,31.83099,19665.02,8619.802,7.290653,1305.071,41,0.625957,9.781658,0.276382,"HIKC",38.57328,-79.15099,812.190677264448,0.0977666915052161,-0.108761798310979,104810.007774552,104810.007774552,1.12121308246024,12.0311864225578,87.9691666666667,10.3183332284292,1055.63,65.98566
1990,"HIKC4","HIK","C",4,"HIKC421",287.1907,"HIKC421HI","N",1971,1973,2012,"Y","Y","2011, 2003 missing",2,21,"ACRU","Acer","C","LIVE",19,0.1438261,287.1907,4518.57,1,31.83099,19665.02,8619.802,7.290653,1305.071,41,0.625957,9.781658,0.1892611,"HIKC",38.57328,-79.15099,812.190677264448,0.0977666915052161,-0.108761798310979,104810.007774552,104810.007774552,1.12121308246024,12.0311864225578,87.9691666666667,10.3183332284292,1055.63,45.1857
1990,"HNKA1","HNK","A",1,"HNKA113",1309.061,"HNKA113HI","N",1908,1912,2012,"Y","Y","break at 1927",4,13,"QUPR","Quercus","C","LIVE",82,1.456017,1309.061,45743.55,1,31.83099,13273.36,6974.387,21.22882,509.2958,16,0.422504,21.24357,0.4155511,"HNKA",38.31762,-79.23926,941.822005663835,0.00808313343328336,0.197661585873733,110253.19323235,110253.19323235,1.12121308246024,10.879412953975,91.9458333333333,11.4312500357628,1103.35,457.4355
1990,"HNKA3","HNK","A",3,"HNKA321",887.7239,"HNKA321HI","N",1927,1929,2012,"Y","Y","cored twice",2,21,"NYSY","Nyssa","C","LIVE",63,0.3137938,887.7239,16664.57,1,18.8349,28409.32,10263.16,15.27488,640.3868,34,0.5350869,16.49527,0.0885811,"HNKA",38.31877,-79.2409,952.354604604605,0.00617837837837838,0.287183016349687,106063.970434641,106063.970434641,1.12121308246024,10.2836323509133,91.9458333333333,11.4312500357628,1103.35,166.6457
1990,"HNKA3","HNK","A",3,"HNKA323",96.99196,"HNKA323HI","N",1938,1942,2012,"Y","N","poor corr",4,23,"NYSY","Nyssa","I","LIVE",52,0.1105156,96.99196,5869.124,1,18.8349,28409.32,10263.16,15.27488,640.3868,34,0.5350869,16.49527,0.03119753,"HNKA",38.31877,-79.2409,952.354604604605,0.00617837837837838,0.287183016349687,106063.970434641,106063.970434641,1.12121308246024,10.2836323509133,91.9458333333333,11.4312500357628,1103.35,58.69124
1990,"HNKA3","HNK","A",3,"HNKA329",641.6118,"HNKA329HI","N",1911,1917,2012,"Y","Y","switch sides measuring at 1937 b/c of scar",6,29,"ACRU","Acer","C","LIVE",79,1.771219,641.6118,94063.68,1,18.8349,28409.32,10263.16,15.27488,640.3868,34,0.5350869,16.49527,0.4999987,"HNKA",38.31877,-79.2409,952.354604604605,0.00617837837837838,0.287183016349687,106063.970434641,106063.970434641,1.12121308246024,10.2836323509133,91.9458333333333,11.4312500357628,1103.35,940.6368
1990,"HNKB1","HNK","B",1,"HNKB117",12.70484,"HNKB117HI","Y",1910,1911,2012,"Y","Y","1986 missing",1,17,"ACRU","Acer","I","LIVE",80,0.2228189,12.70484,10082.3,1,22.10485,12241.19,11352.35,18.43731,464.2019,21,0.2705897,26.45763,0.03348128,"HNKB",38.31586,-79.22329,829.397015920647,0.0137903225806452,0.00899183129115747,104564.560668894,104564.560668894,1.12121308246024,10.0079832937885,90.6308333333333,11.6479168534279,1087.57,100.823
1990,"HNKB2","HNK","B",2,"HNKB228",60.87535,"HNKB228HI","Y",1929,1930,2012,"Y","N","poor corr, possible -9 shift",1,28,"NYSY","Nyssa","U","LIVE",61,0.03479751,60.87535,1574.548,1,22.10485,25344.11,9055.98,16.78317,663.1456,30,0.5602279,15.6628,0.01076947,"HNKB",38.31543,-79.22434,837.302112029385,0.0125675432006011,0.0698096669171058,105240.191580145,105240.191580145,1.12121308246024,10.0754499537204,90.6308333333333,11.6479168534279,1087.57,15.74548
1990,"HNKB3","HNK","B",3,"HNKB348",12.6735,"HNKB348HI","Y",1918,1919,2012,"Y","N","poor corr",1,48,"NYSY","Nyssa","U","LIVE",72,0.07405751,12.6735,2326.658,1,31.83099,4586.648,2339.533,7.446733,541.1268,17,0.1459975,8.299138,0.03808812,"HNKB",38.31529,-79.22547,843.712810261536,0.0130877811094453,0.131486340163251,105698.576686842,105698.576686842,1.12121308246024,10.0893358127721,90.6308333333333,11.6479168534279,1087.57,23.26658
1990,"HNKC3","HNK","C",3,"HNKC301",28.76513,"HNKC301HI","N",1933,1935,2011,"Y","Y","2010 & 2011 very small",2,1,"NYSY","Nyssa","U","LIVE",57,0.07466827,28.76513,1501.171,1,49.73592,4887.47,3848.481,8.414283,1094.19,22,0.2430828,11.32356,0.01237207,"HNKC",38.32188,-79.22275,717.66103239705,1.24081275167785,-0.118992874306069,95529.5060104499,95529.5060104499,1.12121308246024,9.65729086780814,90.6308333333333,11.6479168534279,1087.57,15.01171
1990,"HNKC3","HNK","C",3,"HNKC312",36.92887,"HNKC312HI","Y",1976,1977,2012,"Y","Y","1992 missing",1,12,"ACRU","Acer","U","LIVE",14,0.05901966,36.92887,1186.563,1,49.73592,4887.47,3848.481,8.414283,1094.19,22,0.2430828,11.32356,0.009779193,"HNKC",38.32188,-79.22275,717.66103239705,1.24081275167785,-0.118992874306069,95529.5060104499,95529.5060104499,1.12121308246024,9.65729086780814,90.6308333333333,11.6479168534279,1087.57,11.86563
1990,"IRNA1","IRN","A",1,"IRNA108",310.6445,"IRNA108HI","N",1916,1918,2012,"Y","Y","cores reversed?",2,8,"QURU","Quercus","C","LIVE",74,1.16481,310.6445,36594.73,1,31.83099,6000.593,3705.667,10.81419,286.4789,9,0.1910048,53.11802,0.2962825,"IRNA",36.7531,-81.30619,1242.08090862685,0.0078677641653905,0.116470988599636,108315.822059197,108315.822059197,1.12121308246024,8.60851997228188,121.609166666667,10.6345832745234,1459.31,365.9473
1990,"IRNA3","IRN","A",3,"IRNA306",476.2784,"IRNA306HI","Y",1975,1976,2012,"Y","N","poor correlation with master",1,6,"QURU","Quercus","C","LIVE",15,0.1134854,476.2784,3565.36,1,31.83099,9697.616,4134.703,4.219207,891.2677,28,0.3086847,6.07528,0.05604816,"IRNA",36.75242,-81.30829,1256.67288207748,0.00766620689655172,0.180023414218825,111993.786113204,111993.786113204,1.12121308246024,8.74767362702851,121.609166666667,10.6345832745234,1459.31,35.6536
1990,"IRNB1","IRN","B",1,"IRNB131",475.8727,"IRNB131HI","N",1910,1912,2012,"Y","Y","actually lower; this one measured",2,31,"QUPR","Quercus","C","LIVE",80,0.3580012,475.8727,11247.29,1,31.83099,9284.385,6627.148,10.75066,1018.592,32,0.2955312,15.60742,0.1710809,"IRNB",36.7579,-81.3064,1114.83777095067,0.0279629032258065,-0.0795997610513717,94858.1839370496,94858.1839370496,1.12121308246024,7.41699916696975,121.609166666667,10.6345832745234,1459.31,112.4729
1990,"IRNB2","IRN","B",2,"IRNB210",123.3534,"IRNB210HI","N",1915,1917,2012,"Y","N","poor correlation with master",2,10,"QURU","Quercus","C","LIVE",75,0.0920612,123.3534,2892.278,1,31.83099,8503.116,6187.651,9.876577,763.9437,24,0.2706626,13.70111,0.05953945,"IRNB",36.75741,-81.30741,1129.34821049052,0.0256407039020658,-0.05699013857009,94447.430817497,94447.430817497,1.12121308246024,7.28095388049371,121.609166666667,10.6345832745234,1459.31,28.92278
1990,"IRNB3","IRN","B",3,"IRNB333",136.218,"IRNB333HI","Y",1911,1912,2012,"Y","Y","1999 missing",1,33,"NYSY","Nyssa","I","LIVE",79,0.1939902,136.218,6094.57,1,31.83099,8045.044,6608.781,10.50652,859.4367,27,0.2560817,15.0594,0.1027481,"IRNB",36.7567,-81.30802,1151.4676387823,0.0226561013046815,-0.0186855120661668,94878.6782054599,94878.6782054599,1.12121308246024,7.26938130732039,121.609166666667,10.6345832745234,1459.31,60.9457
1990,"IRNC1","IRN","C",1,"IRNC125",118.6567,"IRNC125HI","Y",1913,1914,2012,"Y","Y","B side is clearer in supression",1,25,"QUPR","Quercus","C","LIVE",77,0.3374473,118.6567,10601.55,1,31.83099,14944.91,11508.95,14.96156,1336.902,42,0.4757112,21.01574,0.1415791,"IRNC",36.76212,-81.30692,1000.50974882929,0.0769193103448276,-0.196700723712222,100591.06512654,100591.06512654,1.12121308246024,9.25772238430342,121.609166666667,10.6345832745234,1459.31,106.0155
1990,"MORA1","MOR","A",1,"MORA118",66.95716,"MORA118HI","N",1955,1958,2012,"Y","N","poor correlation w/ master",3,18,"QUPR","Quercus","U","LIVE",35,0.07543601,66.95716,2369.966,1,31.83099,10745.35,8342.988,19.368,668.4508,21,0.342035,25.84046,0.01096733,"MORA",37.71746,-80.1106,877.041792547835,0.00779410876132931,0.181940248405504,98238.8672687436,98238.8672687436,1.12121308246024,9.98271459626786,95.4,11.8887499173482,1144.8,23.69966
1990,"MORA2","MOR","A",2,"MORA222",69.14528,"MORA222HI","Y",1954,1955,2012,"Y","Y","2002 & 2003 missing",1,22,"BELE","Betula","U","LIVE",36,0.1529735,69.14528,4805.954,1,31.83099,12535.55,6740.045,16.71165,954.9297,30,0.399019,21.17347,0.06930901,"MORA",37.71701,-80.1116,885.855193328279,0.00741630022744503,0.236500716030663,99339.9315238093,99339.9315238093,1.12121308246024,10.222546002108,95.4,11.8887499173482,1144.8,48.05954
1990,"MORA2","MOR","A",2,"MORA236",348.6657,"MORA236HI","Y",1953,1954,2012,"N","Y","b side measured",1,36,"NYSY","Nyssa","I","LIVE",37,0.2192376,348.6657,6887.765,1,31.83099,12535.55,6740.045,16.71165,954.9297,30,0.399019,21.17347,0.09933183,"MORA",37.71701,-80.1116,885.855193328279,0.00741630022744503,0.236500716030663,99339.9315238093,99339.9315238093,1.12121308246024,10.222546002108,95.4,11.8887499173482,1144.8,68.87765
1990,"MORB1","MOR","B",1,"MORB147",61.2181,"MORB147HI","N",1963,1966,2012,"Y","N","poor correlation w/ master, but 1966 marker year lines up",3,47,"QURU","Quercus","I","LIVE",27,0.05031218,61.2181,1580.653,1,31.83099,9626.957,5587.276,6.645622,923.0987,29,0.3064356,12.99774,0.02255113,"MORB",37.72242,-80.1086,738.07714884696,0.237477735849057,-0.0934381551362639,90337.9040959802,90337.9040959802,1.12121308246024,8.82794973895337,95.4,11.8887499173482,1144.8,15.80653
1990,"MORB2","MOR","B",2,"MORB206",124.1656,"MORB206HI","Y",1953,1954,2012,"Y","N","poor correlation w/ master",1,6,"QUPR","Quercus","U","LIVE",37,0.1302103,124.1656,4090.803,1,31.83099,8417.379,5921.791,7.755252,763.9437,24,0.2679335,15.29441,0.05883342,"MORB",37.72218,-80.10972,744.222557399028,0.224869683257919,-0.110315066197415,90798.4192135725,90798.4192135725,1.12121308246024,8.9065941463934,95.4,11.8887499173482,1144.8,40.90803
1990,"MORB2","MOR","B",2,"MORB214",1016.054,"MORB214HI","N",1908,1911,2012,"Y","Y","false rings (2) in 1953",3,14,"QUPR","Quercus","C","LIVE",82,1.578313,1016.054,49585.7,1,31.83099,8417.379,5921.791,7.755252,763.9437,24,0.2679335,15.29441,0.7131354,"MORB",37.72218,-80.10972,744.222557399028,0.224869683257919,-0.110315066197415,90798.4192135725,90798.4192135725,1.12121308246024,8.9065941463934,95.4,11.8887499173482,1144.8,495.857
1990,"MORB2","MOR","B",2,"MORB236",81.36434,"MORB236HI","N",1971,1976,2012,"N","Y","bark fell off while polishing",5,36,"ACRU","Acer","I","LIVE",19,0.02517053,81.36434,790.78,1,31.83099,8417.379,5921.791,7.755252,763.9437,24,0.2679335,15.29441,0.0113729,"MORB",37.72218,-80.10972,744.222557399028,0.224869683257919,-0.110315066197415,90798.4192135725,90798.4192135725,1.12121308246024,8.9065941463934,95.4,11.8887499173482,1144.8,7.9078
1990,"MORB2","MOR","B",2,"MORB243",48.72359,"MORB243HI","N",1957,1960,2012,"N","Y","B side dated",3,43,"ACRU","Acer","I","LIVE",33,0.06550088,48.72359,2057.835,1,31.83099,8417.379,5921.791,7.755252,763.9437,24,0.2679335,15.29441,0.02959552,"MORB",37.72218,-80.10972,744.222557399028,0.224869683257919,-0.110315066197415,90798.4192135725,90798.4192135725,1.12121308246024,8.9065941463934,95.4,11.8887499173482,1144.8,20.57835
1990,"MORC1","MOR","C",1,"MORC101",64.07742,"MORC101HI","N",1946,1948,2012,"Y","N","poor correlation w/ master",2,1,"NYSY","Nyssa","U","LIVE",44,0.08616441,64.07742,2707.019,1,31.83099,12016.96,7024.602,16.57216,891.2677,28,0.3825116,22.70774,0.02413484,"MORC",37.72533,-80.1077,666.932000337467,0.342753075170843,-0.214565932675266,96596.1255029741,96596.1255029741,1.12121308246024,10.5049486557978,95.4,11.8887499173482,1144.8,27.07019
1990,"MORC1","MOR","C",1,"MORC103",65.94871,"MORC103HI","Y",1945,1946,2012,"N","Y","B side dated",1,3,"ACRU","Acer","U","LIVE",45,0.06807847,65.94871,2138.815,1,31.83099,12016.96,7024.602,16.57216,891.2677,28,0.3825116,22.70774,0.01906893,"MORC",37.72533,-80.1077,666.932000337467,0.342753075170843,-0.214565932675266,96596.1255029741,96596.1255029741,1.12121308246024,10.5049486557978,95.4,11.8887499173482,1144.8,21.38815
1991,"BLDA4","BLD","A",4,"BLDA408",456.7492,"BLDA408HI","N",1933,1939,2012,"Y","N","poor correlation w/ master",6,8,"QURU","Quercus","C","LIVE",58,0.3683067,456.7492,11571.05,1,31.83099,13053.3,8240.74,16.07851,700.2817,22,0.4154995,21.26157,0.1705183,"BLDA",37.91874,-79.84931,1146.93945492662,0.013427320754717,0.17303983228513,127071.01143163,127071.01143163,0.930409775455597,10.3105883924104,94.905,10.6850001017253,1138.86,115.7105
1991,"BLDA4","BLD","A",4,"BLDA410",74.21573,"BLDA410HI","Y",1982,1983,2012,"Y","Y","meaured",1,10,"BELE","Betula","I","LIVE",9,0.01169517,74.21573,367.4259,1,31.83099,13053.3,8240.74,16.07851,700.2817,22,0.4154995,21.26157,0.00541462,"BLDA",37.91874,-79.84931,1146.93945492662,0.013427320754717,0.17303983228513,127071.01143163,127071.01143163,0.930409775455597,10.3105883924104,94.905,10.6850001017253,1138.86,3.674259
1991,"BLDB1","BLD","B",1,"BLDB133",198.2106,"BLDB133HI","N",1939,1940,2012,"Y","Y","false ring in 1952",1,33,"BELE","Betula","I","LIVE",52,0.1263092,198.2106,3968.243,1,31.83099,9204.968,5406.706,13.48683,827.6057,26,0.2930032,14.71545,0.07262423,"BLDB",37.91899,-79.84276,994.130442091108,0.0321127080181543,0.0212430660615305,119858.064017565,119858.064017565,0.930409775455597,11.3728422865982,94.905,10.6850001017253,1138.86,39.68243
